Index, StateCode, StateName, CountyName, CityName, Latitude, Longitude, Zip_Code, Average_Temperature, Maximum_Monthly_Highs, Minimum_Monthly_Lows
137,AK,Alaska,Bethel,Nightmute,60.479444,-164.723889,99690,30.624999999999996,63.4,0.8
138,AK,Alaska,KenaiPeninsula,Nikiski,60.690278,-151.288889,99611,35.6,63.3,8.6
139,AK,Alaska,YukonKoyukuk,Nikolai,63.001603,-154.381247,99691,29.091666666666665,69.4,-10.6
140,AK,Alaska,AleutiansWest,Nikolski,52.988337,-168.788427,99638,40.891666666666666,58.7,27.7
141,AK,Alaska,KenaiPeninsula,Ninilchik,60.010833,-151.639604,99639,36.975,60.7,17.8
142,AK,Alaska,NorthwestArctic,Noatak,66.97553,-160.509453,99761,22.725000000000005,59.5,-9.5
143,AK,Alaska,Nome,Nome,64.505775,-165.310667,99762,27.349999999999994,58.2,-2.8
144,AK,Alaska,LakeAndPeninsula,Nondalton,60.030837,-154.731675,99640,35.75,62.7,11.5
145,AK,Alaska,NorthwestArctic,Noorvik,66.836353,-161.044132,99763,22.725000000000005,59.5,-9.5
146,AK,Alaska,FairbanksNorthStar,NorthPole,64.78049,-147.369353,99705,26.75,72.6,-17.2
147,AK,Alaska,SoutheastFairbanks,Northway,62.964167,-141.908611,99764,23.366666666666664,69.8,-23.1
148,AK,Alaska,NorthSlope,Nuiqsut,70.192737,-150.997119,99789,13.391666666666666,58.2,-23.3
149,AK,Alaska,YukonKoyukuk,Nulato,64.778024,-157.991353,99765,25.125,67.9,-15.5
150,AK,Alaska,WadeHampton,NunamIqua,62.509167,-164.453333,99666,27.349999999999994,58.2,-2.8
151,AK,Alaska,Bethel,Nunapitchuk,60.896944,-162.459444,99641,30.624999999999996,63.4,0.8
152,AK,Alaska,KodiakIsland,OldHarbor,57.202778,-153.303889,99643,40.86666666666666,61.3,25.9
153,AK,Alaska,KodiakIsland,Ouzinkie,57.925,-152.491667,99644,40.10833333333333,60.5,26.0
154,AK,Alaska,MatanuskaSusitna,Palmer,61.613814,-149.065323,99645,36.666666666666664,66.2,8.5
155,AK,Alaska,LakeAndPeninsula,PedroBay,59.92238,-153.821856,99647,36.03333333333334,67.4,7.6
156,AK,Alaska,SkagwayHoonahAngoon,Pelican,57.960833,-136.2275,99832,42.43333333333333,62.2,27.2
157,AK,Alaska,LakeAndPeninsula,Perryville,55.945289,-159.259333,99648,41.09166666666666,58.1,28.6
158,AK,Alaska,WrangellPetersburg,Petersburg,56.827134,-133.160683,99833,43.14166666666667,64.0,26.0
159,AK,Alaska,LakeAndPeninsula,PilotPoint,57.595193,-157.449272,99649,35.1,63.8,8.8
160,AK,Alaska,WadeHampton,PilotStation,61.946159,-162.874716,99650,30.624999999999996,63.4,0.8
161,AK,Alaska,Bethel,Platinum,58.63364,-162.043201,99651,30.624999999999996,63.4,0.8
162,AK,Alaska,PrinceWalesKetchikan,PointBaker,56.307858,-133.376372,99927,43.14166666666667,64.0,26.0
163,AK,Alaska,NorthSlope,PointHope,68.312058,-166.72618,99766,21.441666666666666,55.9,-10.8
164,AK,Alaska,NorthSlope,PointLay,69.705626,-162.906148,99759,21.2,66.0,-17.2
165,AK,Alaska,WrangellPetersburg,PortAlexander,57.05,-135.333333,99836,45.26666666666667,61.9,32.1
166,AK,Alaska,LakeAndPeninsula,PortAlsworth,60.636416,-154.433803,99653,36.03333333333334,67.4,7.6
167,AK,Alaska,LakeAndPeninsula,PortHeiden,56.964333,-158.566367,99549,34.15833333333333,61.2,9.5
168,AK,Alaska,KodiakIsland,PortLions,57.866667,-152.883333,99550,40.10833333333333,60.5,26.0
169,AK,Alaska,NorthSlope,PrudhoeBay,70.070057,-148.559636,99734,11.358333333333334,53.2,-23.6
170,AK,Alaska,Bethel,Quinhagak,59.738057,-161.874938,99655,30.624999999999996,63.4,0.8
171,AK,Alaska,YukonKoyukuk,Rampart,65.383627,-150.011201,99767,27.116666666666664,72.0,-14.7
172,AK,Alaska,Bethel,RedDevil,61.735389,-157.195969,99656,27.24166666666667,69.3,-15.3
173,AK,Alaska,YukonKoyukuk,Ruby,64.720062,-155.503872,99768,25.958333333333332,70.9,-17.6
174,AK,Alaska,WadeHampton,RussianMission,61.591302,-161.558413,99657,30.624999999999996,63.4,0.8
175,AK,Alaska,AleutiansWest,SaintGeorgeIsland,56.60324,-169.547257,99591,36.291666666666664,51.6,22.7
176,AK,Alaska,WadeHampton,SaintMarys,62.054106,-163.205263,99658,30.624999999999996,63.4,0.8
177,AK,Alaska,Nome,SaintMichael,63.47759,-162.109141,99659,30.624999999999996,63.4,0.8
178,AK,Alaska,AleutiansWest,SaintPaulIsland,57.178697,-170.293408,99591,35.325,52.1,20.2
179,AK,Alaska,FairbanksNorthStar,Salcha,64.50905,-146.952974,99714,27.025000000000002,70.8,-13.6
180,AK,Alaska,AleutiansEast,SandPoint,55.319236,-160.491435,99661,41.09166666666666,58.1,28.6
181,AK,Alaska,Nome,Savoonga,63.679737,-170.470908,99769,21.575000000000003,51.5,-8.0
182,AK,Alaska,WadeHampton,ScammonBay,61.845019,-165.581945,99662,27.349999999999994,58.2,-2.8
183,AK,Alaska,NorthwestArctic,Selawik,65.713537,-158.534287,99770,25.125,67.9,-15.5
184,AK,Alaska,KenaiPeninsula,Seldovia,59.436667,-151.708333,99663,38.93333333333334,61.4,21.0
185,AK,Alaska,KenaiPeninsula,Seward,60.132874,-149.39849,99664,40.449999999999996,61.5,22.3
186,AK,Alaska,YukonKoyukuk,Shageluk,62.661092,-159.52816,99665,25.125,67.9,-15.5
187,AK,Alaska,Nome,Shaktoolik,64.375498,-161.174589,99771,25.125,67.9,-15.5
188,AK,Alaska,Nome,Shishmaref,66.230562,-166.137276,99772,27.349999999999994,58.2,-2.8
189,AK,Alaska,NorthwestArctic,Shungnak,66.958141,-157.613496,99773,25.958333333333332,70.9,-17.6
190,AK,Alaska,Sitka,Sitka,57.051436,-135.316569,99835,45.26666666666667,61.9,32.1
191,AK,Alaska,SkagwayHoonahAngoon,Skagway,59.468471,-135.301794,99840,41.875,64.2,21.3
192,AK,Alaska,MatanuskaSusitna,Skwentna,61.958333,-151.181667,99667,33.725,69.8,1.1
193,AK,Alaska,Bethel,Sleetmute,61.634555,-157.118284,99668,27.24166666666667,69.3,-15.3
194,AK,Alaska,KenaiPeninsula,Soldotna,60.481778,-151.13582,99669,36.108333333333334,64.2,8.1
195,AK,Alaska,BristolBay,SouthNaknek,58.736221,-156.850289,99670,35.1,63.8,8.8
196,AK,Alaska,Nome,Stebbins,63.478468,-162.227355,99671,30.624999999999996,63.4,0.8
197,AK,Alaska,KenaiPeninsula,Sterling,60.520373,-150.849792,99672,36.108333333333334,64.2,8.1
198,AK,Alaska,YukonKoyukuk,StevensVillage,65.995894,-149.118286,99774,30.225000000000005,68.7,-1.0
199,AK,Alaska,MatanuskaSusitna,Sutton,61.796667,-148.462778,99674,35.916666666666664,68.1,8.8
200,AK,Alaska,YukonKoyukuk,Takotna,62.948889,-155.566389,99675,27.24166666666667,69.3,-15.3
201,AK,Alaska,MatanuskaSusitna,Talkeetna,62.260516,-150.110097,99676,35.90833333333333,68.5,6.2
202,AK,Alaska,SoutheastFairbanks,Tanacross,63.385278,-143.346389,99776,24.916666666666668,73.6,-20.1
203,AK,Alaska,YukonKoyukuk,Tanana,65.156483,-152.103747,99777,25.366666666666664,71.7,-17.2
204,AK,Alaska,ValdezCordova,Tatitlek,60.864722,-146.678611,99677,38.949999999999996,62.3,19.2
205,AK,Alaska,Nome,Teller,65.240164,-166.3833,99778,27.349999999999994,58.2,-2.8
206,AK,Alaska,SkagwayHoonahAngoon,TenakeeSprings,57.78,-135.216667,99841,43.07500000000001,64.8,26.3
207,AK,Alaska,PrinceWalesKetchikan,ThorneBay,55.66086,-132.513815,99919,45.44166666666667,65.0,31.1
208,AK,Alaska,Dillingham,Togiak,59.066667,-160.4,99678,34.15833333333333,61.2,9.5
209,AK,Alaska,SoutheastFairbanks,Tok,63.333333,-142.983333,99776,24.916666666666668,73.6,-20.1
210,AK,Alaska,Bethel,ToksookBay,60.537,-165.097,99637,30.624999999999996,63.4,0.8
211,AK,Alaska,MatanuskaSusitna,TrapperCreek,61.441361,-150.284455,99683,35.949999999999996,66.8,6.9
212,AK,Alaska,Bethel,Tuluksak,61.108848,-160.938924,99679,30.624999999999996,63.4,0.8
213,AK,Alaska,Bethel,Tuntutuliak,60.8438,-161.6372,99680,30.624999999999996,63.4,0.8
214,AK,Alaska,Bethel,Tununak,60.539322,-165.097464,99681,30.624999999999996,63.4,0.8
215,AK,Alaska,FairbanksNorthStar,TwoRivers,64.871944,-147.038056,99716,29.425,75.3,-13.0
216,AK,Alaska,KenaiPeninsula,Tyonek,61.117929,-151.348495,99682,35.6,63.3,8.6
217,AK,Alaska,Nome,Unalakleet,63.883478,-160.788365,99684,25.125,67.9,-15.5
218,AK,Alaska,AleutiansWest,Unalaska,53.887114,-166.519855,99547,40.891666666666666,58.7,27.7
219,AK,Alaska,ValdezCordova,Valdez,60.895044,-146.195628,99686,38.949999999999996,62.3,19.2
220,AK,Alaska,YukonKoyukuk,Venetie,67.010446,-146.413723,99781,26.349999999999998,69.6,-11.5
221,AK,Alaska,NorthSlope,Wainwright,70.620064,-160.012532,99782,13.775,51.8,-19.3
222,AK,Alaska,Nome,Wales,65.688212,-168.520521,99783,21.575000000000003,51.5,-8.0
223,AK,Alaska,KetchikanGateway,WardCove,55.408333,-131.725,99928,45.074999999999996,64.2,30.1
224,AK,Alaska,MatanuskaSusitna,Wasilla,61.5814,-149.4394,99623,37.24166666666667,69.6,8.2
225,AK,Alaska,Nome,WhiteMountain,64.702791,-163.42185,99784,27.349999999999994,58.2,-2.8
226,AK,Alaska,ValdezCordova,Whittier,60.775,-148.683333,99693,41.09166666666667,62.6,24.7
227,AK,Alaska,MatanuskaSusitna,Willow,61.771511,-150.188891,99683,32.775,68.3,-1.3
228,AK,Alaska,WrangellPetersburg,Wrangell,56.433524,-132.352918,99929,44.508333333333326,64.4,27.6
229,AK,Alaska,Yakutat,Yakutat,59.620211,-139.778858,99689,40.208333333333336,60.5,22.4
230,AL,Alabama,Henry,Abbeville,31.575479,-85.279044,36310,66.375,92.3,37.8
231,AL,Alabama,Tuscaloosa,Abernant,33.290278,-87.198056,35440,62.616666666666674,90.9,32.9
232,AL,Alabama,Jefferson,Adamsville,33.588437,-86.959727,35005,62.616666666666674,90.9,32.9
233,AL,Alabama,Winston,Addison,34.205571,-87.194766,35540,60.45000000000001,89.8,29.3
234,AL,Alabama,Jefferson,Adger,33.434277,-87.167455,35006,62.616666666666674,90.9,32.9
235,AL,Alabama,Hale,Akron,32.872354,-87.708558,35441,65.55833333333334,92.8,36.0
236,AL,Alabama,Shelby,Alabaster,33.236868,-86.812861,35007,63.23333333333332,90.5,34.2
237,AL,Alabama,Wilcox,Alberta,32.144889,-87.342503,36720,64.71666666666668,91.7,35.2
238,AL,Alabama,Marshall,Albertville,34.273859,-86.206447,35950,61.61666666666667,89.4,31.9
239,AL,Alabama,Tallapoosa,AlexanderCity,32.941445,-85.951086,35010,62.30833333333334,90.7,31.6
240,AL,Alabama,Calhoun,Alexandria,33.780785,-85.892447,36250,62.40833333333333,89.9,33.0
241,AL,Alabama,Pickens,Aliceville,33.122813,-88.166689,35442,63.09166666666666,92.3,31.2
242,AL,Alabama,Blount,Allgood,33.911944,-86.509444,35013,60.98333333333334,90.3,30.1
243,AL,Alabama,Clarke,Alma,31.463889,-87.753889,36501,64.75833333333333,91.2,35.4
244,AL,Alabama,Talladega,Alpine,33.331165,-86.208934,35014,61.12500000000001,90.8,29.7
