County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Berrien,MI,859,5,128,107,619,966,1,064
Branch,MI,116,,25,4,87,086,225,806
Calhoun,MI,944,9,143,128,664,6,126,1
Cass,MI,102,1,30,14,57,232,345,825
Charlevoix,MI,36,1,13,,22,80,356,15
Cheboygan,MI,45,,23,2,20,142,418,37
Chippewa,MI,77,,19,3,55,181,539,51
Clare,MI,79,1,12,8,58,185,467,656
Clinton,MI,73,,13,2,58,193,567,53
Crawford,MI,41,1,14,,26,82,159,26
Delta,MI,39,,15,,24,97,175,15
Dickinson,MI,43,3,21,3,16,69,448,19
Eaton,MI,247,1,53,45,148,430,458,1
Emmet,MI,57,,21,8,28,147,502,19
Genesee,MI,3,410,51,277,723,2,860,17
Gladwin,MI,59,,16,1,42,134,226,25
Gogebic,MI,21,,7,,14,30,69,5
Grand Traverse,MI,190,,66,9,115,669,304,1
Gratiot,MI,76,,37,3,36,123,456,26
Hillsdale,MI,102,,29,11,62,012,274,684
Houghton,MI,51,,19,2,30,81,434,27
Huron,MI,40,,16,,24,125,479,15
Ingham,MI,1,634,18,215,315,1,583,9
Ionia,MI,182,1,55,8,118,422,326,1
Iosco,MI,48,,13,,35,215,422,32
Iron,MI,26,,4,2,20,59,125,11
Isabella,MI,160,1,49,22,88,549,318,1
Jackson,MI,681,4,174,94,409,482,985,3
Kalamazoo,MI,889,4,110,204,571,9,718,1
Kalkaska,MI,41,,25,,16,147,292,9
Kent,MI,3,018,20,266,713,2,991,20
Keweenaw,MI,2,,,,2,14,32,3
Lake,MI,56,,12,2,42,119,147,10
Lapeer,MI,151,1,34,9,107,498,280,1
Leelanau,MI,19,3,5,1,10,56,165,11
Lenawee,MI,303,1,72,29,201,829,383,1
Livingston,MI,214,2,39,26,147,536,504,1
Luce,MI,16,,10,,6,23,35,10
Mackinac,MI,26,,9,,17,67,317,14
Macomb,MI,2,421,16,231,488,2,617,19
Manistee,MI,52,1,20,1,30,133,289,26
Marquette,MI,92,,38,4,50,335,241,1
Mason,MI,95,3,26,4,62,178,651,20
Mecosta,MI,99,1,31,6,61,227,258,909
Menominee,MI,36,,12,,24,151,353,14
Midland,MI,149,1,42,12,94,338,195,1
Missaukee,MI,28,,6,,22,98,129,12
Monroe,MI,305,,69,36,200,388,787,2
Montcalm,MI,137,,59,4,74,493,444,952
Montmorency,MI,15,,6,,9,37,44,11
Muskegon,MI,994,4,141,150,699,716,1,543
Newaygo,MI,166,2,45,2,117,235,358,789
Oakland,MI,4,091,15,418,821,3,725,28
Oceana,MI,63,4,15,2,42,126,329,21
Ogemaw,MI,49,,13,1,35,166,329,18
Ontonagon,MI,13,,2,,11,26,51,7
Osceola,MI,62,1,25,,36,136,285,24
Oscoda,MI,16,3,6,,7,83,156,10
Otsego,MI,57,,13,1,43,162,354,31
Ottawa,MI,475,2,176,31,266,999,1,014
Presque Isle,MI,5,,2,,3,38,47,6
Roscommon,MI,69,,22,5,42,242,525,58
Saginaw,MI,2,211,24,142,265,1,650,7
St. Clair,MI,450,1,91,35,323,567,656,2
St. Joseph,MI,244,,66,15,163,837,383,1
Sanilac,MI,64,,16,1,47,172,387,29
Schoolcraft,MI,18,1,6,,11,58,55,9
Shiawassee,MI,197,1,45,14,137,352,297,954
Tuscola,MI,73,,29,1,43,196,429,43
Van Buren,MI,270,1,46,18,205,466,595,1
Washtenaw,MI,1,091,9,125,268,045,9,844
Wayne,MI,20,021,414,1,067,12,052,26
Wexford,MI,91,1,33,3,54,172,777,33
Aitkin,MN,31,,12,,19,228,269,47
Anoka,MN,516,4,93,97,322,447,1,577
Becker,MN,48,,10,4,34,97,428,74
Beltrami,MN,140,,30,8,102,614,256,1
Benton,MN,70,,24,9,37,145,787,59
Big Stone,MN,7,,2,,5,31,40,13
Blue Earth,MN,97,1,43,7,46,198,410,1
Brown,MN,15,,5,1,9,57,258,15
Carlton,MN,41,,14,1,26,150,692,53
Carver,MN,61,,9,8,44,116,151,912
Cass,MN,122,,58,11,53,140,277,768
Chippewa,MN,10,,2,,8,31,171,13
Chisago,MN,36,,7,8,21,354,220,1
Clay,MN,80,1,27,14,38,156,159,914
Clearwater,MN,10,,4,,6,50,112,16
Cook,MN,4,,,,4,35,96,6
Cottonwood,MN,13,1,5,1,6,35,128,9
Crow Wing,MN,118,1,30,6,81,188,395,1
Dakota,MN,438,4,86,112,236,015,1,296
Dodge,MN,3,,1,,2,53,178,19
Douglas,MN,37,2,17,3,15,134,547,32
Faribault,MN,10,,1,,9,65,209,26
Fillmore,MN,12,,3,,9,45,87,11
Freeborn,MN,24,,3,1,20,44,449,32
Goodhue,MN,58,,20,7,31,236,210,951
Grant,MN,4,,3,,1,37,62,6
Hennepin,MN,6,065,61,633,2,701,5,949
Houston,MN,15,,4,1,10,31,231,31
Hubbard,MN,35,1,5,2,27,188,382,62
Isanti,MN,32,,7,5,20,184,542,100
Itasca,MN,32,,4,2,26,170,315,56
Jackson,MN,15,,2,,13,50,132,7
Kanabec,MN,29,1,7,,21,102,311,45
Kandiyohi,MN,64,,26,7,31,156,209,900
Kittson,MN,6,,,,6,13,58,1
Koochiching,MN,16,,8,,8,90,242,24
Lac qui Parle,MN,4,,2,,2,20,56,7
Lake,MN,1,,1,,,40,65,4
Lake of the Woods,MN,5,,2,,3,30,69,3
Le Sueur,MN,12,,4,,8,49,215,25
Lincoln,MN,10,,,,10,11,68,
Lyon,MN,38,,17,2,19,106,412,25
McLeod,MN,63,1,21,1,40,158,656,52
Mahnomen,MN,22,,2,2,18,68,124,17
Marshall,MN,13,,,1,12,19,64,4
Martin,MN,16,,4,1,11,90,395,18
Meeker,MN,35,,27,3,5,129,402,46
Mille Lacs,MN,41,1,11,2,27,165,598,71
Morrison,MN,33,1,6,1,25,102,537,36
Mower,MN,89,1,21,11,56,232,200,964
Murray,MN,10,,3,,7,14,95,8
Nicollet,MN,27,,14,,13,54,559,31
Nobles,MN,16,,1,2,13,108,227,14
Norman,MN,11,,3,1,7,31,29,3
Olmsted,MN,263,,54,69,140,991,496,2
Otter Tail,MN,72,,20,2,50,017,233,720
Pennington,MN,24,1,12,1,10,64,265,13
Pine,MN,41,1,16,3,21,216,371,752
Pipestone,MN,,,,,,17,55,2
Polk,MN,52,,9,2,41,137,350,23
Pope,MN,10,,4,,6,27,60,8
Ramsey,MN,2,731,21,270,765,2,756,21
Red Lake,MN,,,,,,4,7,
Redwood,MN,23,1,6,,16,81,265,30
Renville,MN,24,,8,1,15,63,230,30
Rice,MN,95,,22,8,65,659,422,1
Rock,MN,16,,,,16,13,30,5
Roseau,MN,4,,1,,3,32,246,8
St. Louis,MN,425,,90,65,270,250,1,463
Scott,MN,127,1,25,13,88,566,411,2
Sherburne,MN,101,1,26,8,66,923,237,1
Sibley,MN,,,,,,29,20,3
Stearns,MN,285,,67,36,182,676,499,3
Steele,MN,63,,11,12,40,207,728,39
Stevens,MN,14,,4,1,9,39,82,7
Swift,MN,12,,5,,7,57,114,16
Todd,MN,34,1,16,,17,105,375,30
Traverse,MN,8,,2,,6,13,68,5
Wabasha,MN,14,,5,3,6,34,232,14
Wadena,MN,24,,5,,19,67,191,13
Waseca,MN,32,,5,2,25,87,301,9
Washington,MN,246,,49,30,167,327,843,5
Watonwan,MN,13,,3,1,9,40,184,11
Wilkin,MN,13,,3,,10,30,157,17
Winona,MN,41,3,5,6,27,129,610,38
Wright,MN,96,2,19,12,63,659,283,2
Yellow Medicine,MN,8,,1,1,6,33,56,10
Adams,MS,78,1,16,23,38,852,380,1
Alcorn,MS,60,2,14,22,22,092,185,872
Amite,MS,1,,,,1,6,,3
Attala,MS,35,3,7,,25,221,174,9
Benton,MS,,,,,,,,
Bolivar,MS,39,1,4,18,16,230,630,24
Calhoun,MS,2,,,,2,3,4,1
Carroll,MS,,,,,,,1,
Chickasaw,MS,31,1,2,6,22,47,27,1
Choctaw,MS,,,,,,,,
Claiborne,MS,39,1,,4,34,77,59,
Clarke,MS,,,,,,,,
Clay,MS,47,1,10,9,27,191,343,1
Coahoma,MS,12,5,1,3,3,74,56,43
Copiah,MS,,,,,,,,
Covington,MS,9,,1,7,1,53,129,15
DeSoto,MS,233,3,47,97,86,696,885,3
Forrest,MS,145,3,15,68,59,006,723,2
Franklin,MS,,,,,,,,
George,MS,112,2,2,1,107,96,179,57
Greene,MS,,,,,,,,
Grenada,MS,108,2,13,24,69,259,610,72
Hancock,MS,22,,3,10,9,110,698,40
Harrison,MS,634,10,96,305,223,296,2,690
Hinds,MS,1,334,56,183,693,931,13,494
Holmes,MS,2,,,,2,12,16,1
Humphreys,MS,16,1,3,5,7,58,90,1
Issaquena,MS,,,,,,,,
Itawamba,MS,11,2,4,2,3,95,111,27
Jackson,MS,340,13,68,114,145,863,1,854
Jasper,MS,2,,,2,,11,11,
Jefferson,MS,35,1,,4,30,10,22,
Jefferson Davis,MS,,,,,,,,
Jones,MS,105,7,15,41,42,003,225,1
Kemper,MS,,,,,,,,
Lafayette,MS,27,,4,4,19,67,401,24
Lamar,MS,45,,22,6,17,270,510,60
Lauderdale,MS,203,5,39,89,70,719,1,173
Lawrence,MS,,,,,,,,
Leake,MS,,,,,,,,
Lee,MS,207,4,39,66,98,816,563,2
Leflore,MS,248,9,10,55,174,032,604,1
Lincoln,MS,80,1,3,11,65,180,589,68
Lowndes,MS,166,2,21,41,102,928,353,1
Madison,MS,220,8,23,52,137,880,360,1
Marion,MS,23,,2,3,18,131,242,21
Marshall,MS,167,,3,7,157,80,246,30
Monroe,MS,43,1,9,8,25,124,482,9
Montgomery,MS,2,,1,,1,15,7,1
Neshoba,MS,,,,,,,,
Newton,MS,11,,,3,8,26,57,8
Noxubee,MS,,,,,,,,
Oktibbeha,MS,42,,1,12,29,123,153,947
Panola,MS,111,,7,16,88,326,341,47
Pearl River,MS,75,3,19,12,41,561,413,1
Perry,MS,,,,,,,,
Pike,MS,94,3,7,24,60,327,365,886
Pontotoc,MS,,,,,,44,48,6
Prentiss,MS,11,,,3,8,112,231,3
Quitman,MS,,,,,,,,
Rankin,MS,174,4,36,41,93,026,815,2
Scott,MS,89,,23,14,52,141,178,27
Sharkey,MS,10,,,3,7,38,,
Simpson,MS,35,1,7,3,24,110,283,27
Smith,MS,,,,,,,,
Stone,MS,79,1,13,11,54,164,429,17
Sunflower,MS,75,2,16,14,43,249,414,29
Tallahatchie,MS,,,,,,,,
Tate,MS,25,,1,6,18,190,384,68
Tippah,MS,39,1,1,4,33,57,29,10
Tishomingo,MS,23,,2,11,10,85,35,7
Tunica,MS,141,1,7,32,101,141,391,154
Union,MS,9,1,,1,7,166,239,31
Walthall,MS,24,1,3,1,19,41,10,5
Warren,MS,269,3,29,40,197,547,592,1
Washington,MS,323,10,31,102,180,580,879,2
Wayne,MS,3,,,1,2,27,15,2
Webster,MS,25,,,,25,9,2,
Wilkinson,MS,,,,,,,,
Winston,MS,3,1,,,2,44,7,
Yalobusha,MS,6,1,2,,3,10,16,
Yazoo,MS,,,,,,,,
Adair,MO,72,,2,5,65,105,533,20
Andrew,MO,4,,1,,3,51,117,19
Atchison,MO,15,,,,15,24,9,2
Audrain,MO,49,1,4,3,41,123,263,19
Barry,MO,53,,6,,47,300,607,56
Barton,MO,69,,10,,59,84,243,8
Bates,MO,77,1,1,,75,137,331,11
Benton,MO,46,,1,1,44,168,275,20
Bollinger,MO,33,,4,,29,28,64,1
Boone,MO,525,1,26,120,378,380,663,3
Buchanan,MO,178,6,30,65,77,915,969,3
Butler,MO,140,2,6,35,97,801,368,1
Caldwell,MO,22,,,1,21,33,49,10
Callaway,MO,71,,8,14,49,053,193,809
Camden,MO,59,4,4,8,43,244,272,922
Cape Girardeau,MO,311,1,18,48,244,858,455,2
Carroll,MO,21,,,2,19,31,72,5
Carter,MO,9,,1,,8,14,44,4
Cass,MO,193,,37,18,138,670,392,2
Cedar,MO,28,,1,1,26,106,280,19
Chariton,MO,14,1,1,,12,12,142,5
Christian,MO,77,,6,7,64,291,257,927
Clark,MO,24,,2,,22,42,46,10
Clay,MO,1,619,21,86,437,1,587,10
Clinton,MO,98,,4,,94,95,217,26
Cole,MO,296,,18,45,233,965,363,1
Cooper,MO,44,,,3,41,31,503,5
Crawford,MO,99,1,4,8,86,130,595,61
Dade,MO,11,,3,,8,31,22,5
Dallas,MO,29,3,,,26,68,167,22
Daviess,MO,15,1,,3,11,32,37,16
DeKalb,MO,21,,1,1,19,64,149,12
Dent,MO,42,1,5,,36,71,189,26
Douglas,MO,57,,2,1,54,45,122,19
Dunklin,MO,103,2,4,14,83,222,563,46
Franklin,MO,256,3,11,10,232,497,374,1
Gasconade,MO,37,,,1,36,91,233,33
Gentry,MO,10,,2,,8,18,32,
Greene,MO,955,10,88,189,668,047,2,276
Grundy,MO,9,,1,,8,60,235,8
Harrison,MO,11,1,,1,9,43,86,10
Henry,MO,88,,2,3,83,022,255,707
Hickory,MO,6,1,,1,4,44,62,10
Holt,MO,17,,,1,16,24,61,6
Howard,MO,27,,4,,23,49,37,3
Howell,MO,84,6,6,11,61,287,283,935
Iron,MO,14,1,3,,10,32,56,11
Jackson,MO,6,053,75,326,1,038,6,224
Jasper,MO,341,2,51,92,196,487,1,048
Jefferson,MO,791,1,53,23,714,880,535,3
Johnson,MO,112,,17,6,89,289,337,887
Knox,MO,4,,,,4,24,99,1
Laclede,MO,114,,9,7,98,151,249,864
Lafayette,MO,82,3,4,5,70,183,500,41
Lawrence,MO,68,3,10,4,51,222,606,35
Lewis,MO,23,,3,,20,35,94,5
Lincoln,MO,97,1,2,4,90,119,533,42
Linn,MO,19,,2,,17,70,118,18
Livingston,MO,35,,5,3,27,63,224,29
McDonald,MO,60,2,5,3,50,132,275,53
Macon,MO,53,2,4,4,43,91,181,4
Madison,MO,19,2,3,,14,46,119,12
Maries,MO,28,,1,1,26,24,44,3
Marion,MO,119,,15,25,79,573,218,1
Mercer,MO,6,,,,6,15,1,2
Miller,MO,89,2,7,5,75,125,320,44
Mississippi,MO,63,4,2,6,51,65,275,21
Moniteau,MO,21,,,1,20,54,120,15
Monroe,MO,16,,1,1,14,37,87,10
Montgomery,MO,19,,1,2,16,60,151,18
Morgan,MO,109,,,1,108,218,409,19
New Madrid,MO,54,,2,7,45,132,145,23
Newton,MO,168,2,12,15,139,194,450,1
Nodaway,MO,31,1,,1,29,72,348,20
Oregon,MO,8,1,,,7,14,12,4
Osage,MO,15,,,,15,58,73,11
Ozark,MO,24,1,3,,20,51,36,8
Pemiscot,MO,78,3,6,8,61,208,515,35
Perry,MO,18,,4,,14,60,220,18
Pettis,MO,232,1,7,17,207,908,372,1
Phelps,MO,171,2,14,18,137,567,308,1
Pike,MO,53,4,2,2,45,60,120,12
Platte,MO,613,7,34,170,402,947,724,2
Polk,MO,58,,9,1,48,194,566,48
Pulaski,MO,136,1,8,19,108,171,373,27
Putnam,MO,8,,,,8,11,20,1
Ralls,MO,36,1,2,1,32,63,105,6
Randolph,MO,43,,9,6,28,150,505,28
Ray,MO,39,,5,1,33,122,364,58
Reynolds,MO,11,,3,,8,52,13,3
Ripley,MO,14,,,1,13,108,171,17
St. Charles,MO,560,3,41,79,437,039,979,5
St. Clair,MO,19,1,3,,15,120,171,4
Ste. Genevieve,MO,19,,,3,16,55,142,14
St. Francois,MO,146,4,18,11,113,426,204,1
St. Louis,MO,2,762,31,179,675,2,505,29
Saline,MO,37,,3,8,26,121,404,21
Schuyler,MO,6,,1,,5,8,8,6
Scotland,MO,4,,,,4,15,30,2
Scott,MO,150,2,13,23,112,233,633,56
Shannon,MO,28,,,,28,15,32,9
Shelby,MO,2,,2,,,24,50,7
Stoddard,MO,80,1,5,5,69,153,336,23
Stone,MO,393,1,12,3,377,264,485,63
Sullivan,MO,23,,,1,22,14,34,8
Taney,MO,255,3,15,10,227,638,247,1
Texas,MO,23,,2,1,20,92,182,21
Vernon,MO,102,2,9,7,84,203,607,86
Warren,MO,93,3,1,10,79,103,494,31
Washington,MO,46,1,3,,42,43,232,33
Wayne,MO,38,2,1,,35,78,145,17
Webster,MO,114,1,2,3,108,169,469,31
Worth,MO,6,,,4,2,6,4,1
Wright,MO,15,,,,15,57,225,23
St. Louis city,MO,6,957,113,171,2,041,7,936
Beaverhead,MT,16,,2,1,13,7,86,15
Big Horn,MT,25,1,,,24,19,146,13
Blaine,MT,12,,2,1,9,17,58,6
Broadwater,MT,43,,3,,40,3,237,4
Carbon,MT,4,1,1,,2,5,50,7
Carter,MT,,,,,,,6,
Cascade,MT,262,3,19,19,221,221,318,3
Chouteau,MT,14,1,5,1,7,8,34,2
Custer,MT,,,,,,,,
Daniels,MT,,,,,,,,
Dawson,MT,25,,,,25,20,164,3
Deer Lodge,MT,55,,,2,53,26,143,16
Fallon,MT,2,1,,,1,2,10,
Fergus,MT,19,,6,,13,14,111,6
Flathead,MT,91,,3,7,81,370,102,1
Gallatin,MT,204,4,34,11,155,378,318,1
Garfield,MT,,,,,,,,
Glacier,MT,57,,1,2,54,31,183,8
Golden Valley,MT,1,,,,1,5,4,
Granite,MT,3,,,,3,6,51,
Hill,MT,83,,14,1,68,49,490,25
Jefferson,MT,13,,2,,11,9,44,6
Judith Basin,MT,2,,,,2,1,12,1
Lake,MT,117,1,18,3,95,97,482,57
Lewis and Clark,MT,185,1,31,13,140,386,234,1
Liberty,MT,,,,,,,,
Lincoln,MT,86,,1,1,84,110,434,26
McCone,MT,4,,,,4,,,
Madison,MT,8,,,,8,17,45,6
Meagher,MT,8,,,,8,6,22,2
Mineral,MT,24,,,,24,11,16,6
Missoula,MT,,,,,,,,
Musselshell,MT,19,1,3,,15,12,152,4
Park,MT,89,,9,,80,34,210,23
Petroleum,MT,,,,,,2,,
Phillips,MT,16,,1,,15,7,39,1
Pondera,MT,,,,,,6,34,3
Powder River,MT,,,,,,,,
Powell,MT,39,,3,1,35,22,141,12
Prairie,MT,,,,,,1,2,1
Ravalli,MT,82,1,8,1,72,48,345,10
Richland,MT,,,,,,,,
Roosevelt,MT,1,,,,1,4,11,
Rosebud,MT,27,,3,1,23,26,38,7
Sanders,MT,43,1,1,,41,52,153,9
Sheridan,MT,1,,,,1,6,15,1
Silver Bow,MT,83,2,7,10,64,528,201,1
Stillwater,MT,10,,,1,9,19,80,2
Sweet Grass,MT,8,,,,8,7,27,4
Teton,MT,10,,2,,8,12,41,1
Toole,MT,7,,,,7,15,55,6
Treasure,MT,,,,,,,,
Valley,MT,12,,2,,10,14,114,7
Wheatland,MT,,,,,,1,1,
Wibaux,MT,,,,,,,1,1
Yellowstone,MT,281,5,33,59,184,793,738,4
Yellowstone National Park,MT,,,,,,,,
Adams,NE,65,1,18,3,43,082,188,852
Antelope,NE,1,,,,1,16,18,3
Arthur,NE,,,,,,,,
Banner,NE,,,,,,,,
Blaine,NE,,,,,,,,
Boone,NE,,,,,,10,19,4
Box Butte,NE,38,,1,1,36,28,179,8
Boyd,NE,,,,,,2,7,1
Brown,NE,1,,,,1,16,36,3
Buffalo,NE,95,,16,3,76,166,185,930
Burt,NE,8,,1,,7,7,28,1
Butler,NE,2,,,,2,11,61,
Cass,NE,11,,4,1,6,23,148,22
Cedar,NE,,,,,,,,
Chase,NE,3,,,,3,8,18,3
Cherry,NE,,,,,,1,12,2
Cheyenne,NE,9,1,2,,6,34,148,7
Clay,NE,3,,,1,2,18,44,
Colfax,NE,18,,1,1,16,21,102,6
Cuming,NE,6,,1,1,4,8,31,10
Custer,NE,8,,2,,6,26,100,9
Dakota,NE,9,,3,1,5,47,200,17
Dawes,NE,5,,4,,1,9,41,10
Dawson,NE,61,,20,4,37,97,525,55
Deuel,NE,,,,,,7,12,1
Dixon,NE,5,,2,,3,18,37,3
Dodge,NE,47,1,10,8,28,109,175,871
Douglas,NE,2,797,20,199,837,3,301,24
Dundy,NE,,,,,,2,15,2
Fillmore,NE,2,,1,,1,15,17,6
Franklin,NE,1,,,,1,9,9,3
Frontier,NE,3,,1,,2,3,24,1
Furnas,NE,3,,,,3,17,27,1
Gage,NE,49,,18,2,29,145,734,37
Garden,NE,1,,,,1,1,9,1
Garfield,NE,1,,1,,,,,
Gosper,NE,,,,,,2,14,
Grant,NE,,,,,,,,
Greeley,NE,,,,,,,,
Hall,NE,146,,25,24,97,947,405,2
Hamilton,NE,9,,1,,8,22,128,5
Harlan,NE,1,,,,1,,1,1
Hayes,NE,,,,,,,,
Hitchcock,NE,,,,,,2,5,
Holt,NE,3,,1,,2,13,35,2
Hooker,NE,,,,,,,,
Howard,NE,6,,3,,3,25,60,9
Jefferson,NE,10,,1,,9,28,100,7
Johnson,NE,1,,,,1,5,5,2
Kearney,NE,8,,2,1,5,25,78,7
Keith,NE,4,,,1,3,40,284,13
Keya Paha,NE,,,,,,1,,
Kimball,NE,3,,,,3,11,11,
Knox,NE,6,,,,6,5,27,4
Lancaster,NE,1,267,7,143,200,226,14,129
Lincoln,NE,102,,7,8,87,673,268,1
Logan,NE,1,,1,,,,,2
Loup,NE,,,,,,,,
McPherson,NE,1,,,,1,2,4,
Madison,NE,67,2,25,9,31,220,186,958
Merrick,NE,9,,1,2,6,19,139,11
Morrill,NE,3,,,,3,13,79,3
Nance,NE,,,,,,9,21,1
Nemaha,NE,3,,1,,2,18,89,9
Nuckolls,NE,8,,1,,7,3,3,2
Otoe,NE,14,2,4,,8,70,257,17
Pawnee,NE,2,,,,2,9,48,2
Perkins,NE,,,,,,10,29,2
Phelps,NE,9,,2,,7,42,172,11
Pierce,NE,6,,2,,4,15,15,1
Platte,NE,33,1,10,1,21,85,542,24
Polk,NE,,,,,,5,27,1
Red Willow,NE,19,1,5,2,11,46,246,25
Richardson,NE,3,,1,,2,21,63,4
Rock,NE,1,,1,,,5,10,
Saline,NE,30,,5,1,24,68,215,12
Sarpy,NE,142,4,29,14,95,938,374,2
Saunders,NE,9,,1,,8,68,139,19
Scotts Bluff,NE,50,,6,4,40,426,209,1
Seward,NE,8,,3,1,4,25,170,5
Sheridan,NE,11,,3,,8,16,54,4
Sherman,NE,4,,3,,1,3,31,
Sioux,NE,,,,,,,,
Stanton,NE,10,,2,,8,18,49,5
Thayer,NE,2,,,,2,17,35,2
Thomas,NE,,,,,,,,
Thurston,NE,2,,,,2,,1,1
Valley,NE,1,,,,1,,15,4
Washington,NE,12,,7,2,3,52,154,28
Wayne,NE,5,,3,,2,20,114,6
Webster,NE,3,,,,3,13,36,2
Wheeler,NE,,,,,,6,3,1
York,NE,6,,2,,4,30,224,16
Churchill,NV,96,,22,6,68,190,604,46
Clark,NV,11,390,152,734,4,241,8,129
Douglas,NV,71,,,12,59,217,238,878
Elko,NV,81,1,13,12,55,039,317,640
Esmeralda,NV,5,,,,5,2,5,
Eureka,NV,9,,,1,8,5,15,2
Humboldt,NV,49,,4,3,42,83,143,29
Lander,NV,42,1,1,1,39,28,37,13
Lincoln,NV,7,,,,7,13,17,8
Lyon,NV,96,1,7,7,81,286,519,86
Mineral,NV,5,,1,1,3,29,18,5
Nye,NV,102,,2,4,96,220,465,647
Pershing,NV,58,,7,1,50,77,73,11
Storey,NV,5,1,,1,3,22,36,2
Washoe,NV,2,045,14,161,568,1,401,15
White Pine,NV,25,1,2,1,21,35,134,9
Carson City,NV,293,1,,24,268,664,374,1
Belknap,NH,94,1,18,21,54,370,272,1
Carroll,NH,65,1,23,6,35,262,640,70
Cheshire,NH,79,,25,10,44,179,505,55
Coos,NH,44,,10,2,32,114,324,27
Grafton,NH,89,,28,9,52,525,283,1
Hillsborough,NH,495,7,94,203,191,021,1,131
Merrimack,NH,154,1,38,17,98,055,426,1
Rockingham,NH,347,2,79,53,213,989,610,3
Strafford,NH,127,,47,17,63,030,253,1
Sullivan,NH,58,1,14,6,37,179,499,28
Atlantic,NJ,1,408,11,86,550,125,10,752
Bergen,NJ,1,110,5,60,391,125,14,150
Burlington,NJ,846,4,105,291,446,275,1,607
Camden,NJ,3,150,55,145,1,718,2,972
Cape May,NJ,373,3,27,78,265,544,975,3
Cumberland,NJ,1,167,9,50,404,050,6,352
Essex,NJ,6,805,136,192,3,128,8,324
Gloucester,NJ,649,7,46,196,400,483,1,742
Hudson,NJ,4,102,36,106,2,937,4,048
Hunterdon,NJ,64,2,3,8,51,228,295,869
Mercer,NJ,1,782,23,79,744,812,9,679
Middlesex,NJ,1,653,17,83,593,831,15,948
Monmouth,NJ,1,365,9,92,495,215,12,690
Morris,NJ,510,4,36,129,341,657,1,174
Ocean,NJ,894,11,51,189,643,408,2,095
Passaic,NJ,2,318,18,55,1,151,2,463
Salem,NJ,184,1,7,39,137,478,398,968
Somerset,NJ,311,14,24,141,132,395,754,3
Sussex,NJ,116,1,6,11,98,657,300,1
Union,NJ,1,988,22,71,1,2,299,14
Warren,NJ,119,4,5,21,89,438,276,1
Bernalillo,NM,5,576,53,279,1,894,5,986
Catron,NM,3,,,,3,1,,2
Chaves,NM,513,8,51,43,411,552,950,2
Cibola,NM,103,,1,18,84,209,316,66
Colfax,NM,40,,,,40,73,122,9
Curry,NM,208,10,16,26,156,119,699,1
De Baca,NM,,,,,,,,
Dona Ana,NM,391,3,86,113,189,743,795,3
Eddy,NM,185,3,30,23,129,286,737,1
Grant,NM,39,,6,5,28,270,484,27
Guadalupe,NM,5,,,2,3,5,7,1
Harding,NM,14,1,,1,12,6,2,2
Hidalgo,NM,13,,,1,12,17,14,18
Lea,NM,442,3,37,30,372,706,568,2
Lincoln,NM,133,1,5,6,121,199,340,41
Los Alamos,NM,1,,,,1,17,26,2
Luna,NM,98,2,4,9,83,194,433,639
McKinley,NM,434,3,25,56,350,378,376,1
Mora,NM,6,,,,6,36,,
Otero,NM,150,3,8,10,129,218,218,957
Quay,NM,74,1,,1,72,125,103,16
Rio Arriba,NM,12,2,1,,9,9,2,
Roosevelt,NM,76,2,11,3,60,224,332,28
Sandoval,NM,251,2,19,16,214,538,455,928
San Juan,NM,847,2,137,65,643,273,693,2
San Miguel,NM,157,1,13,17,126,161,448,53
Santa Fe,NM,807,8,73,78,648,294,2,362
Sierra,NM,52,,4,5,43,60,204,27
Socorro,NM,215,,2,5,208,132,400,18
Taos,NM,74,1,4,11,58,186,346,7
Torrance,NM,27,,5,3,19,83,62,14
Union,NM,17,,,2,15,32,10,2
Valencia,NM,642,10,55,28,549,401,818,1
Albany,NY,1,426,13,76,480,354,10,997
Allegany,NY,97,,19,2,76,202,612,31
Bronx,NY,,,,,,,,
Broome,NY,328,2,52,89,185,431,698,4
Cattaraugus,NY,212,1,22,13,176,334,381,1
Cayuga,NY,131,2,14,20,95,639,318,1
Chautauqua,NY,344,1,42,70,231,434,749,2
Chemung,NY,253,2,36,54,161,817,429,2
Chenango,NY,119,,18,11,90,234,722,20
Clinton,NY,187,,27,9,151,401,424,941
Columbia,NY,53,1,6,5,41,135,627,33
Cortland,NY,107,,24,10,73,267,217,1
Delaware,NY,86,1,5,2,78,226,513,19
Dutchess,NY,721,4,42,169,506,388,625,3
Erie,NY,4,693,57,297,1,655,4,421
Essex,NY,66,,7,1,58,166,259,11
Franklin,NY,160,2,9,3,146,320,491,26
Fulton,NY,96,1,8,12,75,406,240,1
Genesee,NY,108,1,22,18,67,719,289,1
Greene,NY,140,2,9,8,121,194,446,15
Hamilton,NY,4,,1,,3,18,35,
Herkimer,NY,133,2,16,11,104,212,624,15
Jefferson,NY,231,4,39,25,163,051,404,1
Kings,NY,55,905,570,1,432,29,457,75
Lewis,NY,26,,1,,25,94,190,7
Livingston,NY,86,1,19,13,53,638,210,1
Madison,NY,71,1,14,15,41,318,316,978
Monroe,NY,2,331,47,156,1,023,2,069
Montgomery,NY,56,1,6,2,47,134,461,12
Nassau,NY,2,502,23,108,1,332,844,19
New York,NY,,,,,,,,
