County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Inyo,CA,52,,4,6,42,106,280,42
Kern,CA,4,421,51,217,931,3,237,31
Kings,CA,462,6,44,75,337,870,756,2
Lake,CA,301,1,18,24,258,940,580,1
Lassen,CA,100,,8,3,89,148,327,55
Los Angeles,CA,76,652,1,038,2,565,46,566
Madera,CA,723,7,35,158,523,946,1,139
Marin,CA,495,3,44,132,316,129,1,275
Mariposa,CA,82,1,7,,74,118,268,22
Mendocino,CA,472,6,28,32,406,924,688,1
Merced,CA,1,612,16,83,232,1,307,10
Modoc,CA,15,,2,1,12,48,81,18
Mono,CA,44,,8,3,33,147,403,23
Monterey,CA,2,097,33,129,721,2,311,14
Napa,CA,451,3,50,58,340,722,596,2
Nevada,CA,236,1,23,19,193,840,508,1
Orange,CA,8,308,81,522,2,194,8,600
Placer,CA,623,3,41,113,466,262,1,941
Plumas,CA,56,2,7,4,43,155,280,24
Riverside,CA,8,495,93,466,2,688,9,591
Sacramento,CA,9,164,92,449,3,297,7,206
San Benito,CA,237,,25,32,180,281,317,808
San Bernardino,CA,9,813,165,551,3,749,9,169
San Diego,CA,13,886,127,797,3,374,13,746
San Francisco,CA,5,782,88,154,3,482,6,562
San Joaquin,CA,5,431,55,192,1,626,4,596
San Luis Obispo,CA,777,2,97,81,597,875,1,582
San Mateo,CA,2,168,26,156,685,1,991,19
Santa Barbara,CA,1,804,7,128,321,1,312,9
Santa Clara,CA,5,090,37,454,1,430,7,226
Santa Cruz,CA,1,198,5,124,205,186,9,397
Shasta,CA,909,4,114,92,699,793,1,539
Sierra,CA,13,,,,13,20,36,5
Siskiyou,CA,139,1,9,6,123,012,277,659
Solano,CA,2,005,19,120,520,2,504,12
Sonoma,CA,2,242,17,214,272,1,356,13
Stanislaus,CA,2,874,41,159,719,3,088,30
Sutter,CA,354,3,36,56,259,342,815,2
Tehama,CA,429,3,31,21,374,786,484,1
Trinity,CA,57,1,4,4,48,103,49,53
Tulare,CA,2,614,25,105,445,2,377,19
Tuolumne,CA,186,2,7,13,164,191,759,1
Ventura,CA,1,898,33,101,621,2,112,17
Yolo,CA,1,053,5,85,167,6,565,1
Yuba,CA,395,5,29,58,303,604,760,1
Adams,CO,1,468,20,196,315,407,18,124
Alamosa,CO,98,1,3,4,90,83,382,22
Arapahoe,CO,2,196,21,257,635,1,716,22
Archuleta,CO,21,,9,1,11,98,188,14
Baca,CO,8,,,,8,,10,
Bent,CO,15,,2,,13,14,42,2
Boulder,CO,364,4,49,53,258,331,1,095
Broomfield,CO,40,1,7,12,20,556,151,1
Chaffee,CO,44,,12,,32,60,400,15
Cheyenne,CO,,,,,,2,14,1
Clear Creek,CO,40,,3,1,36,41,243,18
Conejos,CO,,,,,,,,
Costilla,CO,7,,,,7,,1,
Crowley,CO,7,,,,7,1,,
Custer,CO,1,,,,1,8,33,7
Delta,CO,61,,10,6,45,88,333,16
Denver,CO,4,517,87,244,1,743,2,945
Dolores,CO,1,,,,1,7,14,1
Douglas,CO,287,2,66,27,192,635,791,3
Eagle,CO,70,,6,9,55,274,98,1
Elbert,CO,19,,1,2,16,56,121,17
El Paso,CO,2,480,17,341,376,1,994,23
Fremont,CO,136,2,30,7,97,119,668,49
Garfield,CO,130,,9,8,113,375,263,1
Gilpin,CO,8,,,1,7,11,32,3
Grand,CO,7,,,1,6,43,267,21
Gunnison,CO,47,,13,,34,38,317,15
Hinsdale,CO,1,,,,1,,9,2
Huerfano,CO,18,1,,1,16,24,107,6
Jackson,CO,3,,,,3,1,7,2
Jefferson,CO,1,369,9,161,333,19,861,3
Kiowa,CO,,,,,,,,
Kit Carson,CO,12,,1,,11,21,102,5
Lake,CO,22,,,,22,29,90,15
La Plata,CO,71,1,12,6,52,298,228,992
Larimer,CO,578,2,177,44,355,790,1,328
