County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Ashley, AR ,130,1,7,7,115,86,582,203,344,35,567
Baxter, AR ,55,-,13,1,41,72,979,126,810,43,613
Benton, AR ,295,5,94,25,171,211,4,775,687,3,909,179,3,457
Boone, AR ,78,-,13,2,63,49,695,164,495,36,523
Bradley, AR ,24,-,2,8,14,16,199,155,41,3,251
Calhoun, AR ,10,1,-,1,8,9,45,17,26,2,49
Carroll, AR ,29,1,4,2,22,66,452,112,302,38,550
Chicot, AR ,67,3,1,3,60,55,150,39,106,5,526
Clark, AR ,69,2,7,8,52,28,555,215,319,21,441
Clay, AR ,7,-,1,-,6,23,57,22,33,2,298
Cleburne, AR ,40,-,9,1,30,77,524,182,304,38,724
Cleveland, AR ,4,1,1,-,2,8,131,77,49,5,62
Columbia, AR ,193,3,10,13,167,156,826,262,537,27,899
Conway, AR ,22,-,2,5,15,21,194,35,148,11,287
Craighead, AR ,284,3,26,49,206,244,2,644,1,026,1,483,135,3,402
Crawford, AR ,92,-,11,6,75,141,939,265,626,48,1,321
Crittenden, AR ,699,6,34,124,535,613,3,122,1,248,1,647,227,2,115
Cross, AR ,59,-,4,5,50,81,314,97,199,18,402
Dallas, AR ,34,-,-,7,27,78,254,90,156,8,286
Desha, AR ,113,3,5,7,98,112,359,155,189,15,672
Drew, AR ,41,-,4,8,29,45,588,131,427,30,263
Faulkner, AR ,202,5,50,32,115,203,3,494,641,2,605,248,2,972
Franklin, AR ,22,-,2,1,19,29,125,33,87,5,165
Fulton, AR ,11,-,3,-,8,13,135,46,74,15,150
Garland, AR ,505,8,25,95,377,416,6,305,1,876,4,016,413,3,915
Grant, AR ,10,-,2,-,8,8,92,21,69,2,135
Greene, AR ,55,-,15,2,38,53,1,064,312,691,61,965
Hempstead, AR ,98,-,13,17,68,100,764,246,475,43,751
Hot Spring, AR ,131,1,24,17,89,90,774,324,411,39,842
Howard, AR ,44,2,4,5,33,6,344,129,214,1,273
Independence, AR ,35,2,8,4,21,58,1,150,332,753,65,1,347
Izard, AR ,13,1,2,1,9,20,125,52,65,8,177
Jackson, AR ,77,-,8,10,59,87,596,163,380,53,528
Jefferson, AR ,698,11,46,170,471,1,222,5,494,1,826,3,222,446,5,657
Johnson, AR ,5,-,1,-,4,9,416,29,373,14,490
Lafayette, AR ,6,1,2,1,2,7,32,8,20,4,61
Lawrence, AR ,2,-,1,-,1,41,148,25,113,10,217
Lee, AR ,33,1,5,7,20,60,271,114,148,9,578
Lincoln, AR ,15,2,-,3,10,30,122,55,66,1,115
Little River, AR ,10,-,2,2,6,20,163,39,108,16,264
Logan, AR ,48,3,5,1,39,11,390,163,202,25,246
Lonoke, AR ,190,2,18,12,158,115,1,738,505,1,162,71,1,328
Madison, AR ,35,-,2,4,29,63,100,38,58,4,122
Marion, AR ,11,-,1,-,10,48,119,33,83,3,197
Miller, AR ,453,3,22,49,379,323,2,002,470,1,425,107,2,035
Mississippi, AR ,392,3,32,58,299,384,2,800,842,1,818,140,2,633
Monroe, AR ,1,-,-,-,1,27,69,12,47,10,84
Montgomery, AR ,9,-,-,-,9,46,17,7,8,2,108
Nevada, AR ,57,1,5,6,45,15,136,51,76,9,100
Newton, AR ,14,-,-,1,13,16,70,26,42,2,59
Ouachita, AR ,90,2,8,18,62,149,728,258,437,33,914
Perry, AR ,29,-,2,1,26,14,87,60,25,2,138
Phillips, AR ,102,1,12,25,64,113,724,444,260,20,820
Pike, AR ,24,-,5,-,19,-,111,39,64,8,35
Poinsett, AR ,96,-,9,7,80,184,918,368,514,36,1,029
Polk, AR ,32,-,-,2,30,30,289,118,166,5,214
Pope, AR ,20,1,2,1,16,104,471,170,284,17,1,926
Prairie, AR ,24,2,2,-,20,28,106,40,52,14,125
Pulaski, AR ,4,426,58,206,1,166,2,996,2,816,27,208,6,079,19,343,1,786,26,035
Randolph, AR ,7,-,-,-,7,82,53,15,33,5,429
St. Francis, AR ,179,3,6,42,128,332,1,501,383,1,066,52,1,568
Saline, AR ,90,-,10,5,75,204,1,657,292,1,299,66,2,604
Scott, AR ,32,-,2,1,29,17,225,119,90,16,202
